 written on 21Apr2026 at 22:06:31 
            2
           41
    2    2    1    1    2    1    1    1    1    1    2    1    1    1    1
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    2    1    1    1    1    1    2    1    1    2    2
   -4    2    0    1    1    0.006037   -0.000000
   -4    2    0    2    1   -0.003686    0.000000
   -4    2    0    1    2    0.001984   -0.000000
   -4    2    0    2    2    0.006037   -0.000000
   -3    0    0    1    1    0.010148   -0.000000
   -3    0    0    2    1    0.001821    0.000000
   -3    0    0    1    2    0.001821   -0.000000
   -3    0    0    2    2    0.010148   -0.000000
   -3    1    0    1    1   -0.003754    0.000000
   -3    1    0    2    1    0.002605   -0.000000
   -3    1    0    1    2   -0.018678   -0.000000
   -3    1    0    2    2   -0.003754    0.000000
   -3    2    0    1    1   -0.003754    0.000000
   -3    2    0    2    1   -0.003686   -0.000000
   -3    2    0    1    2    0.001821   -0.000000
   -3    2    0    2    2   -0.003754    0.000000
   -3    3    0    1    1    0.010148    0.000000
   -3    3    0    2    1    0.002605   -0.000000
   -3    3    0    1    2    0.002605    0.000000
   -3    3    0    2    2    0.010148    0.000000
   -2   -1    0    1    1   -0.003754    0.000000
   -2   -1    0    2    1    0.001984   -0.000000
   -2   -1    0    1    2    0.000937    0.000000
   -2   -1    0    2    2   -0.003754    0.000000
   -2    0    0    1    1   -0.032435   -0.000000
   -2    0    0    2    1    0.001821   -0.000000
   -2    0    0    1    2    0.044909    0.000000
   -2    0    0    2    2   -0.032435   -0.000000
   -2    1    0    1    1    0.039042   -0.000000
   -2    1    0    2    1    0.000937   -0.000000
   -2    1    0    1    2    0.044909    0.000000
   -2    1    0    2    2    0.039042   -0.000000
   -2    2    0    1    1   -0.032435   -0.000000
   -2    2    0    2    1    0.000937   -0.000000
   -2    2    0    1    2    0.000937    0.000000
   -2    2    0    2    2   -0.032435   -0.000000
   -2    3    0    1    1   -0.003754   -0.000000
   -2    3    0    2    1    0.001821    0.000000
   -2    3    0    1    2   -0.003686   -0.000000
   -2    3    0    2    2   -0.003754   -0.000000
   -2    4    0    1    1    0.006037    0.000000
   -2    4    0    2    1    0.001984    0.000000
   -2    4    0    1    2   -0.003686   -0.000000
   -2    4    0    2    2    0.006037    0.000000
   -1   -2    0    1    1   -0.003754    0.000000
   -1   -2    0    2    1    0.001984   -0.000000
   -1   -2    0    1    2    0.000937    0.000000
   -1   -2    0    2    2   -0.003754    0.000000
   -1   -1    0    1    1    0.039042   -0.000000
   -1   -1    0    2    1   -0.018678   -0.000000
   -1   -1    0    1    2   -0.222020    0.000000
   -1   -1    0    2    2    0.039042   -0.000000
   -1    0    0    1    1    0.314315   -0.000000
   -1    0    0    2    1    0.044909    0.000000
   -1    0    0    1    2   -2.835375    0.000000
   -1    0    0    2    2    0.314315   -0.000000
   -1    1    0    1    1    0.314315   -0.000000
   -1    1    0    2    1   -0.222020    0.000000
   -1    1    0    1    2   -0.222020   -0.000000
   -1    1    0    2    2    0.314315   -0.000000
   -1    2    0    1    1    0.039042   -0.000000
   -1    2    0    2    1    0.044909    0.000000
   -1    2    0    1    2    0.000937    0.000000
   -1    2    0    2    2    0.039042   -0.000000
   -1    3    0    1    1   -0.003754    0.000000
   -1    3    0    2    1   -0.018678   -0.000000
   -1    3    0    1    2    0.002605   -0.000000
   -1    3    0    2    2   -0.003754    0.000000
    0   -3    0    1    1    0.010148   -0.000000
    0   -3    0    2    1    0.001821   -0.000000
    0   -3    0    1    2    0.001821    0.000000
    0   -3    0    2    2    0.010148   -0.000000
    0   -2    0    1    1   -0.032435   -0.000000
    0   -2    0    2    1    0.001821   -0.000000
    0   -2    0    1    2    0.044909    0.000000
    0   -2    0    2    2   -0.032435    0.000000
    0   -1    0    1    1    0.314315   -0.000000
    0   -1    0    2    1    0.044909    0.000000
    0   -1    0    1    2   -2.835375   -0.000000
    0   -1    0    2    2    0.314315   -0.000000
    0    0    0    1    1   -3.692589   -0.000000
    0    0    0    2    1   -2.835375    0.000000
    0    0    0    1    2   -2.835375   -0.000000
    0    0    0    2    2   -3.692588   -0.000000
    0    1    0    1    1    0.314315    0.000000
